timeline,survival,group,n_users
0,1.0,Early adopter (<1h),371
2,0.4128440366972477,Early adopter (<1h),371
3,0.2018348623853211,Early adopter (<1h),371
4,0.09174311926605506,Early adopter (<1h),371
5,0.05504587155963304,Early adopter (<1h),371
7,0.04587155963302753,Early adopter (<1h),371
8,0.03669724770642203,Early adopter (<1h),371
10,0.018348623853211014,Early adopter (<1h),371
13,0.009174311926605507,Early adopter (<1h),371
20,0.0,Early adopter (<1h),371
0,1.0,Late adopter (1h+),278
2,0.6127167630057804,Late adopter (1h+),278
3,0.42774566473988446,Late adopter (1h+),278
4,0.33526011560693647,Late adopter (1h+),278
5,0.300578034682081,Late adopter (1h+),278
6,0.26589595375722547,Late adopter (1h+),278
7,0.22543352601156072,Late adopter (1h+),278
8,0.2138728323699422,Late adopter (1h+),278
9,0.19653179190751444,Late adopter (1h+),278
10,0.1791907514450867,Late adopter (1h+),278
12,0.17341040462427745,Late adopter (1h+),278
13,0.16184971098265896,Late adopter (1h+),278
14,0.15606936416184972,Late adopter (1h+),278
16,0.15028901734104047,Late adopter (1h+),278
19,0.14450867052023122,Late adopter (1h+),278
20,0.13872832369942198,Late adopter (1h+),278
21,0.13294797687861273,Late adopter (1h+),278
22,0.12138728323699424,Late adopter (1h+),278
23,0.10982658959537574,Late adopter (1h+),278
27,0.10404624277456649,Late adopter (1h+),278
28,0.09826589595375725,Late adopter (1h+),278
30,0.08670520231213874,Late adopter (1h+),278
31,0.07514450867052025,Late adopter (1h+),278
35,0.069364161849711,Late adopter (1h+),278
37,0.06358381502890174,Late adopter (1h+),278
40,0.05780346820809249,Late adopter (1h+),278
43,0.04046242774566474,Late adopter (1h+),278
54,0.034682080924855495,Late adopter (1h+),278
55,0.028901734104046246,Late adopter (1h+),278
64,0.023121387283236997,Late adopter (1h+),278
66,0.017341040462427747,Late adopter (1h+),278
68,0.0115606936416185,Late adopter (1h+),278
69,0.00578034682080925,Late adopter (1h+),278
71,0.0,Late adopter (1h+),278
0,1.0,Never adopted,4122
2,0.34537246049661396,Never adopted,4122
3,0.16027088036117382,Never adopted,4122
4,0.11060948081264108,Never adopted,4122
5,0.07674943566591422,Never adopted,4122
6,0.06320541760722347,Never adopted,4122
7,0.05417607223476297,Never adopted,4122
8,0.04514672686230248,Never adopted,4122
9,0.04288939051918735,Never adopted,4122
10,0.040632054176072234,Never adopted,4122
12,0.03611738148984198,Never adopted,4122
13,0.02934537246049661,Never adopted,4122
14,0.02708803611738149,Never adopted,4122
16,0.022573363431151242,Never adopted,4122
22,0.020316027088036117,Never adopted,4122
25,0.01805869074492099,Never adopted,4122
31,0.013544018058690745,Never adopted,4122
35,0.011286681715575621,Never adopted,4122
49,0.009029345372460498,Never adopted,4122
63,0.006772009029345373,Never adopted,4122
66,0.00451467268623025,Never adopted,4122
67,0.002257336343115125,Never adopted,4122
68,0.0,Never adopted,4122
