timeline,survival,group,n_users
0,1.0,Agent Builder,285
2,0.5608108108108107,Agent Builder,285
3,0.3648648648648648,Agent Builder,285
4,0.27027027027027023,Agent Builder,285
5,0.2162162162162162,Agent Builder,285
6,0.19594594594594594,Agent Builder,285
7,0.17567567567567569,Agent Builder,285
8,0.16891891891891894,Agent Builder,285
9,0.16216216216216217,Agent Builder,285
10,0.14864864864864866,Agent Builder,285
13,0.13513513513513514,Agent Builder,285
14,0.12837837837837837,Agent Builder,285
16,0.12162162162162163,Agent Builder,285
19,0.11486486486486487,Agent Builder,285
20,0.10810810810810811,Agent Builder,285
22,0.10135135135135136,Agent Builder,285
23,0.0945945945945946,Agent Builder,285
28,0.08783783783783784,Agent Builder,285
30,0.08108108108108109,Agent Builder,285
31,0.06756756756756757,Agent Builder,285
37,0.060810810810810814,Agent Builder,285
40,0.05405405405405406,Agent Builder,285
43,0.0472972972972973,Agent Builder,285
54,0.04054054054054054,Agent Builder,285
55,0.033783783783783786,Agent Builder,285
64,0.02702702702702703,Agent Builder,285
66,0.02027027027027027,Agent Builder,285
68,0.013513513513513516,Agent Builder,285
69,0.006756756756756758,Agent Builder,285
71,0.0,Agent Builder,285
0,1.0,Manual Coder,161
2,0.7236842105263157,Manual Coder,161
3,0.513157894736842,Manual Coder,161
4,0.36842105263157887,Manual Coder,161
5,0.3289473684210526,Manual Coder,161
6,0.28947368421052627,Manual Coder,161
7,0.2763157894736842,Manual Coder,161
8,0.23684210526315788,Manual Coder,161
10,0.22368421052631576,Manual Coder,161
13,0.21052631578947364,Manual Coder,161
16,0.18421052631578944,Manual Coder,161
20,0.17105263157894735,Manual Coder,161
21,0.15789473684210525,Manual Coder,161
22,0.13157894736842105,Manual Coder,161
27,0.11842105263157894,Manual Coder,161
30,0.10526315789473684,Manual Coder,161
35,0.07894736842105263,Manual Coder,161
43,0.052631578947368425,Manual Coder,161
63,0.03947368421052632,Manual Coder,161
66,0.026315789473684216,Manual Coder,161
67,0.013157894736842108,Manual Coder,161
68,0.0,Manual Coder,161
0,1.0,Viewer,1288
2,0.3978779840848806,Viewer,1288
3,0.18832891246684352,Viewer,1288
4,0.12997347480106103,Viewer,1288
5,0.09283819628647216,Viewer,1288
6,0.07692307692307693,Viewer,1288
7,0.05570291777188329,Viewer,1288
8,0.04774535809018568,Viewer,1288
9,0.03978779840848807,Viewer,1288
10,0.03183023872679046,Viewer,1288
12,0.023872679045092843,Viewer,1288
13,0.015915119363395232,Viewer,1288
14,0.013262599469496027,Viewer,1288
23,0.010610079575596822,Viewer,1288
25,0.007957559681697616,Viewer,1288
31,0.002652519893899206,Viewer,1288
49,0.0,Viewer,1288
